CVE_ID,CVSS_Score_Scaled,Severity_CRITICAL,Severity_HIGH,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN,Attack_Vector_ADJACENT_NETWORK,Attack_Vector_LOCAL,Attack_Vector_NETWORK,Attack_Vector_PHYSICAL,Attack_Vector_UNKNOWN,CVSS_Risk_Bin
CVE-2012-2115,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2013-4619,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2013-4620,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2015-4453,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-6394,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-9380,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2017-12064,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-16540,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-1000240,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2017-1000241,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-1000019,1.2589200005314953,False,True,False,False,False,False,False,True,False,False,CRITICAL
CVE-2018-1000020,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-10572,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-10573,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-9250,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15139,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2018-15143,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2018-15144,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15145,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2018-15146,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15147,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15148,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15149,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15150,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15151,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15153,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15154,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15155,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-15156,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-1000218,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2018-1000219,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2018-18035,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
